"SYSTEM","PARENTID","DEPARTMENT","DESCRIPTION","SYNTURF_Location","System_Type","Turf_Type","Infill_Material","JOP","Maint_By","Maint_By_Spec","Construction_Entity","Construction_Entity_Spec","Contract_Type","Contract_Number","Commission_Date","RETIRED","Borough","Shape","FeatureStatus"
"Q300-SYNTURF-0030","Q300","Q-07","Kissena Corridor Park","Peck Avenue and 151st Street","Field Group","Infill","Rubber Crumb","false","DPR","NULL","DPR","NULL","Capital","QG-1105M","10/05/2006","False","Q","MULTIPOLYGON (((-73.81644528216766 40.7461355125857, -73.81712840505853 40.74629381449243, -73.81713021074265 40.7462795722169, -73.817145808259 40.74628081536813, -73.81718822499924 40.74618817445875, -73.81725473131256 40.746161848276294, -73.81754156738852 40.7454164388802, -73.81750430131119 40.74535983150582, -73.81754135620346 40.74525793103591, -73.81685288230301 40.745097261897484, -73.81644528216766 40.7461355125857)))","Archived"
"B068-SYNTURF-0129","B068","B-14","Parade Ground Baseball-07","Caton Avenue and Stratford Road","Field Group","Infill","Coated Sand","false","DPR","NULL",,"NULL",,"NULL","07/01/2025","False","B","MULTIPOLYGON (((-73.9699119966716 40.64894307268684, -73.96872358711553 40.64943442477526, -73.96919672715663 40.65013276338744, -73.96954904002924 40.650220283054196, -73.97047800587973 40.6498620463276, -73.97049617900237 40.64981490709427, -73.97047415980063 40.64977647905938, -73.97043997987709 40.64972857174852, -73.9699119966716 40.64894307268684)))","Active"
"B068-SYNTURF-0128","B068","B-14","Parade Ground Soccer-08","Caton Avenue and Stratford Road","Field Group","Infill","Non-Infill","false","DPR","NULL",,"NULL",,"NULL",,"False","B","MULTIPOLYGON (((-73.96925315997584 40.65030189658506, -73.96869734052564 40.64947027084365, -73.96801731478925 40.64974355383891, -73.96857934493359 40.65057988884313, -73.96893333025501 40.650440892869916, -73.96925315997584 40.65030189658506)))","Active"
"X263-SYNTURF-0102","X263","X-06","Quarry Ballfield","E 181st & Hughes Ave","Field Group","Infill","Unknown","false","DPR","NULL","DPR","NULL",,"NULL","04/01/2025","False","X","MULTIPOLYGON (((-73.89054940899679 40.85112657106201, -73.89089125672287 40.85059325147915, -73.88992980811717 40.85025117040235, -73.88959508196226 40.85078718646132, -73.89054940899679 40.85112657106201)))","Active"
"B126-SYNTURF-0122","B126","B-06","Red Hook Recreation Area 1-4","Columbia St & Bay St","Play Area","Infill","Uncoated Sand","false","DPR","NULL","DPR",,"Capital","B126-118M","03/28/2025","False","B","MULTIPOLYGON (((-74.00835910645309 40.6716078780126, -74.00905861571243 40.670167372433525, -74.00698599571635 40.66960053262598, -74.00613502665324 40.6710591891637, -74.00835910645309 40.6716078780126)))","Active"
"X136-SYNTURF-0101","X136","X-07","Harris Park","Goulden Ave and W 205th St","Field Group","Infill","Coated Sand","false","DPR","NULL","DPR","NULL","LimitedScope","NULL","03/21/2025","False","X","MULTIPOLYGON (((-73.89255389694125 40.87706247703777, -73.89126915958407 40.876487066740616, -73.89066303168808 40.87621557051076, -73.89020779417329 40.876807127319424, -73.89024252810981 40.87691519011234, -73.89109805320973 40.87730137794711, -73.89196638927939 40.877687563291914, -73.892121549369 40.877660871191644, -73.89223457650827 40.877522778005485, -73.89235016626652 40.87736531219682, -73.89248767520935 40.87719589830429, -73.89256946774836 40.877103034205284, -73.89255389694125 40.87706247703777)))","Active"
"Q300-SYNTURF-0118","Q300","Q-07","Kissena Corridor Park","Peck Avenue and 151st Street Infill","Field Group","Infill","Uncoated Sand","false","DPR","NULL","DPR","NULL","Capital","NULL","02/02/2026","False","Q","MULTIPOLYGON (((-73.81712543078379 40.74629035001674, -73.81713383698938 40.746289234125925, -73.81714146056761 40.746282932765055, -73.81714608199901 40.746273830559026, -73.8171523203623 40.74625842736078, -73.81717912118357 40.74619541270346, -73.81724137542967 40.74617692590924, -73.81745127936411 40.74564507269885, -73.81754042283964 40.745425370111455, -73.81750436747312 40.745364206281025, -73.81753120191767 40.74529903757174, -73.81753524595963 40.745268124117686, -73.8175061744254 40.74526647155099, -73.81747082299141 40.745245746159654, -73.81737189416145 40.74522075331083, -73.81721108731978 40.745183644003404, -73.81695737287599 40.74512757523178, -73.81685386450631 40.74510219374373, -73.81668783279342 40.745525223555205, -73.8165952716561 40.745759967538994, -73.8165596911801 40.74585081360522, -73.81644610730906 40.74613856932583, -73.81668982641823 40.74619231980212, -73.81712543078379 40.74629035001674)))","Active"
"M010-SYNTURF-0124","M010","M-13","Harlem Oval","106-51 East Drive",,,"Non-Infill",,,"NULL",,"NULL",,"NULL",,"False","M","MULTIPOLYGON (((-73.954971522549 40.796032384441666, -73.95495271068371 40.79602715329159, -73.95492875868965 40.796023573446384, -73.95490197896274 40.796022492277466, -73.95487261558813 40.79602391888338, -73.95484093399315 40.796027841659736, -73.954807217395 40.79603422469557, -73.95477177390931 40.79604300957753, -73.95469699094306 40.796067449491915, -73.95461927780634 40.796100281763145, -73.9545414328823 40.79614032423201, -73.95446626066953 40.79618613270385, -73.95439646865711 40.79623605943982, -73.95439052899616 40.79624069286282, -73.95438872337596 40.796242116739045, -73.95438616728397 40.79624414275266, -73.95434976319906 40.79627459675213, -73.95431662808127 40.79630536811107, -73.95428717336588 40.79633607698453, -73.95426176072081 40.79636634620944, -73.95424070441602 40.79639580130527, -73.9542242630224 40.796424079475685, -73.954212639409 40.796450833210415, -73.95420597718642 40.796475732084495, -73.95420597122339 40.79647578791315, -73.95420454847053 40.796487336257684, -73.95420448033568 40.796500256601526, -73.95420449681878 40.79650041059354, -73.95420473065897 40.796503261668796, -73.9542072406601 40.7965165846598, -73.95421194596278 40.796528736972604, -73.95421882172948 40.79653965286056, -73.95422769626775 40.79654915485668, -73.95423819522819 40.7965571131399, -73.95425030545506 40.79656370420254, -73.9542796296404 40.796573121557934, -73.95431528610307 40.79657738245251, -73.95435660421944 40.79657640556999, -73.95440280546546 40.79657020950672, -73.95445301882322 40.79655891097766, -73.95450630092756 40.79654272212311, -73.95456164791797 40.796521948713035, -73.95460316717627 40.79650397488798, -73.95465778823818 40.79647725244417, -73.95471167673406 40.79644739144475, -73.9547638784297 40.796414919209184, -73.95481346987079 40.79638041079698, -73.9548595737952 40.796344476406844, -73.95490137454432 40.7963077514767, -73.95493813347362 40.79627088588329, -73.95496919843916 40.79623453313949, -73.95499402158154 40.79619933419196, -73.95501216169717 40.79616591381939, -73.95502329965349 40.79613486262829, -73.95502723839358 40.79610672894824, -73.95502390767885 40.796082012530036, -73.95501336528424 40.79606114833711, -73.9549958005517 40.796044507447306, -73.954971522549 40.796032384441666)))","Active"
"M017-SYNTURF-0129","M017","M-03","Corlears Hook Park","Jackson Street and Water Street","Field Group","Infill","Coated Sand","false","DPR","NULL","DPR","NULL","Capital","NULL","03/04/2024","False","M","MULTIPOLYGON (((-73.98044079938404 40.71144066922824, -73.98042262786775 40.71144102184111, -73.98041051352992 40.71143183907294, -73.9803689266774 40.711103358971606, -73.9803402989946 40.711106410419795, -73.98031167118387 40.71110988600141, -73.98019329615842 40.711127451770494, -73.98005195975358 40.71115923881044, -73.97984383844059 40.711218103168335, -73.97987956010341 40.71157011367642, -73.97996624508077 40.7115645663398, -73.97996389656788 40.71154295187188, -73.98031345619522 40.711521165790785, -73.98032419136773 40.71152396371205, -73.98032653944617 40.71152739595988, -73.98032721058141 40.711538966737294, -73.98039581698626 40.71153527914301, -73.98044565384976 40.71148881405999, -73.98044079938404 40.71144066922824)))","Active"
"M017-SYNTURF-0007","M017","M-03","Corlears Hook Park","Jackson Street and Water Street","Field Group","Non-Infill","Not Applicable","false","DPR","NULL","DPR","NULL","Capital","CNYG-1408M PLANYC","09/22/2011","False","M","MULTIPOLYGON (((-73.97958020169165 40.71130333327643, -73.97961115381224 40.71159016585096, -73.98045741926688 40.711553915781714, -73.98040487240286 40.71109691473698, -73.98032528656816 40.71110517955824, -73.97958020169165 40.71130333327643)))","Archived"
