Field_ID,Parent_ID,Department,Location_Description,Cross_Streets,System_Type,Turf_Type,Infill_Material,JOP,Maintained_By,Construction_Entity,Commission_Date,Retired,Borough,Status
0030,300,Q-07,Kissena Corridor Park,Peck Avenue and 151st Street,Field Group,Infill,Rubber Crumb,False,DPR,DPR,2006-10-05,False,Queens,Archived
0129,068,B-14,Parade Ground Baseball-07,Caton Avenue and Stratford Road,Field Group,Infill,Coated Sand,False,DPR,,2025-07-01,False,Brooklyn,Active
0128,068,B-14,Parade Ground Soccer-08,Caton Avenue and Stratford Road,Field Group,Infill,Non-Infill,False,DPR,,,False,Brooklyn,Active
0102,263,X-06,Quarry Ballfield,E 181st and Hughes Ave,Field Group,Infill,,False,DPR,DPR,2025-04-01,False,Bronx,Active
0122,126,B-06,Red Hook Recreation Area 1-4,Columbia St and Bay St,Play Area,Infill,Uncoated Sand,False,DPR,DPR,2025-03-28,False,Brooklyn,Active
0101,136,X-07,Harris Park,Goulden Ave and W 205th St,Field Group,Infill,Coated Sand,False,DPR,DPR,2025-03-21,False,Bronx,Active
0118,300,Q-07,Kissena Corridor Park,Peck Avenue and 151st Street Infill,Field Group,Infill,Uncoated Sand,False,DPR,DPR,2026-02-02,False,Queens,Active
0124,010,M-13,Harlem Oval,106-51 East Drive,,,Non-Infill,True,,,,False,Manhattan,Active
0129,017,M-03,Corlears Hook Park,Jackson Street and Water Street,Field Group,Infill,Coated Sand,False,DPR,DPR,2024-03-04,False,Manhattan,Active
0007,017,M-03,Corlears Hook Park,Jackson Street and Water Street,Field Group,Non-Infill,,False,DPR,DPR,2011-09-22,False,Manhattan,Archived
0133,017,B-04,Bushwick Playground Volleyball-01,Woodbine Street and Knickerbocker Avenue,Field Group,Infill,Non-Infill,True,DPR,DPR,2025-09-15,False,Brooklyn,Active
0132,017,B-04,"Bushwick Playground Softball-01, Soccer-01",Woodbine Street and Knickerbocker Avenue,Field Group,Infill,Coated Sand,True,DPR,DPR,2025-09-15,False,Brooklyn,Active
0118,105,M-03,Sara D. Roosevelt - Nike Field,Stanton Street and Chrystie Street,Field Group,Infill,Non-Infill,False,DPR,Other,2025-04-01,False,Manhattan,Active
0002,017,B-04,Bushwick Playground Volleyball-01,Woodbine Street and Knickerbocker Avenue,Field Group,Infill,Rubber Crumb,True,DPR,DPR,2006-06-02,False,Brooklyn,Archived
0001,017,B-04,"Bushwick Playground Softball-01, Soccer-01",Woodbine Street and Knickerbocker Avenue,Field Group,Infill,Rubber Crumb,True,DPR,DPR,2006-06-02,False,Brooklyn,Archived
0117,492,Q-04,Elmhurst Park Play Area,57th Ave and 54th Ave,Play Area,Infill,Coated Sand,False,DPR,DPR,2025-07-24,False,Queens,Active
0116,104,Q-01,Queensbridge Park Play Area,Vernon Boulevard 40th Avenue,Play Area,Infill,Coated Sand,False,DPR,DPR,2025-10-01,False,Queens,Active
0115,104,Q-01,Queensbridge Park Volleyball,Vernon Boulevard and 41st Avenue,Field Group,Infill,Coated Sand,False,DPR,DPR,2025-09-01,False,Queens,Active
0128,107,M-11R,Wards Island - Fields 84,Southwest at East River Lane,Field Group,Infill,Coated Sand,False,Other,DPR,2025-09-19,False,Manhattan,Active
0127,107,M-11R,Wards Island - Fields 85,Southwest at East River Lane,Field Group,Infill,Coated Sand,False,DPR,DPR,2025-09-09,False,Manhattan,Active
0126,107,M-11R,Wards Island - Fields 83,Southwest at East River Lane Infill,Field Group,Infill,Coated Sand,False,Other,DPR,2025-09-19,False,Manhattan,Active
0125,107,M-11R,Wards Island - Fields 82,Southwest at East River Lane,Field Group,Infill,Coated Sand,False,Other,DPR,2025-09-09,False,Manhattan,Active
0131,028,B-10,Dyker Beach-Softball-01,14th Avenue and Benson Avenue,Field Group,Infill,Coated Sand,False,DPR,DPR,2025-07-21,False,Brooklyn,Active
